state,med_hh_inc_2022,pct_chng_frm_2000
alabama,59910,5.252986648
alaska,89740,5.675930287
arizona,73450,14.89128735
arkansas,53980,13.11818944
california,85300,13.38561744
colorado,89930,16.00877193
connecticut,90730,12.54031258
delaware,80750,-0.222414432
florida,65370,4.692504805
georgia,67730,0.594088816
hawaii,91010,9.875648919
idaho,72580,20.08603574
illinois,78020,5.40394488
indiana,70030,6.65549802
iowa,76320,15.86458175
kansas,73040,10.70021219
kentucky,55880,-4.101596019
louisiana,58330,18.1726094
maine,75160,25.51770207
maryland,108200,23.47369622
massachusetts,93550,24.51750299
michigan,68990,-5.661151374
minnesota,90390,3.693931398
mississippi,48610,-11.79459263
missouri,71520,-1.310887264
montana,72980,38.56085058
nebraska,78360,16.7983306
nevada,72330,-1.631986944
new hampshire,84970,3.837223512
new jersey,92340,14.01407581
new mexico,56420,0.053200922
new york,75910,15.94623492
north carolina,65070,5.684586649
north dakota,78720,36.09958506
ohio,67520,-2.18745473
oklahoma,63440,21.74246786
oregon,86780,27.07570655
pennsylvania,72210,6.551571492
rhode island,80650,18.93526029
south carolina,61770,2.319032632
south dakota,67180,14.62207814
tennessee,65380,19.32834459
texas,74640,20.30947776
utah,95800,25.37625965
vermont,72190,13.47060673
virginia,85170,12.39113222
washington,89430,30.8795551
west virginia,52460,11.00296234
wisconsin,73330,1.21463078
wyoming,73090,14.77701005
