Year,White,Black,Asian,Hispanic
2002,72790,45050,81680,51380
2003,72640,45070,84690,50170
2004,72550,44640,85290,50830
2005,73210,44480,88070,51850
2006,73440,44780,89990,52930
2007,75010,46320,90290,52830
2008,73160,45080,86480,49950
2009,72040,43100,86610,50320
2010,71070,41920,83850,49110
2011,70130,40790,82430,48880
2012,70790,41370,85220,48430
2013,71490,43340,88800,48690
2014,72890,42820,89870,51400
2015,76200,44670,93410,54650
2016,78040,47380,97710,57200
2017,80350,47470,95900,59530
2018,81650,47810,100800,59470
2019,86630,51750,111800,63910
2020,84990,51880,107300,62480
2021,84110,52080,109400,62520
2022,81060,52860,108700,62800
